idmatch,result_finish_match,result_finish_match_prediction,proba_win_1,proba_draw,proba_win_2
105933,,1,0.39,0.22,0.39
113655,,2,0.31,0.3933333333333333,0.2966666666666667
69416,,2,0.30333333333333334,0.38,0.31666666666666665
106450,,3,0.26,0.3566666666666667,0.38333333333333336
70647,,1,0.38333333333333336,0.29333333333333333,0.3233333333333333
87245,,3,0.3333333333333333,0.2966666666666667,0.37
61291,,1,0.36666666666666664,0.31333333333333335,0.32
102342,,1,0.37666666666666665,0.37333333333333335,0.25
45749,,1,0.3566666666666667,0.3,0.3433333333333333
113591,,1,0.36333333333333334,0.2833333333333333,0.35333333333333333
150032,,2,0.3,0.4633333333333333,0.23666666666666666
124298,,3,0.3566666666666667,0.2833333333333333,0.36
95334,,1,0.35,0.33,0.32
152833,,1,0.36,0.29333333333333333,0.3466666666666667
70267,,2,0.2833333333333333,0.37666666666666665,0.34
145927,,2,0.23666666666666666,0.4033333333333333,0.36
153045,,3,0.3233333333333333,0.32,0.3566666666666667
13151,,1,0.37666666666666665,0.2833333333333333,0.34
137662,,1,0.39666666666666667,0.25666666666666665,0.3466666666666667
120929,,2,0.37333333333333335,0.38666666666666666,0.24
151016,,3,0.27,0.34,0.39
64067,,1,0.35333333333333333,0.3333333333333333,0.31333333333333335
29825,,3,0.34,0.21,0.45
52443,,1,0.38333333333333336,0.32666666666666666,0.29
123289,,2,0.36,0.37333333333333335,0.26666666666666666
182363,,2,0.2633333333333333,0.41333333333333333,0.3233333333333333
69651,,2,0.2633333333333333,0.4,0.33666666666666667
61575,,1,0.3933333333333333,0.25666666666666665,0.35
63287,,3,0.3566666666666667,0.2633333333333333,0.38
16559,,3,0.32,0.24,0.44
135946,,1,0.3933333333333333,0.29333333333333333,0.31333333333333335
88827,,2,0.3333333333333333,0.34,0.32666666666666666
132827,,1,0.36,0.36,0.28
13177,,3,0.30333333333333334,0.30333333333333334,0.3933333333333333
107444,,1,0.36333333333333334,0.28,0.3566666666666667
110251,,2,0.27666666666666667,0.3933333333333333,0.33
136943,,3,0.32,0.25333333333333335,0.4266666666666667
132633,,1,0.39666666666666667,0.2833333333333333,0.32
159891,,2,0.3433333333333333,0.38,0.27666666666666667
105087,,2,0.2866666666666667,0.38,0.3333333333333333
120498,,2,0.33,0.3433333333333333,0.32666666666666666
106190,,3,0.33,0.26666666666666666,0.4033333333333333
21171,,3,0.31333333333333335,0.2866666666666667,0.4
43537,,2,0.33,0.36,0.31
140593,,1,0.4066666666666667,0.25,0.3433333333333333
127239,,3,0.29333333333333333,0.31666666666666665,0.39
84817,,3,0.3,0.2833333333333333,0.4166666666666667
140121,,1,0.41,0.37,0.22
140120,,3,0.30666666666666664,0.33666666666666667,0.3566666666666667
46988,,2,0.31666666666666665,0.4166666666666667,0.26666666666666666
135912,,2,0.29,0.37666666666666665,0.3333333333333333
72621,,3,0.3433333333333333,0.30333333333333334,0.35333333333333333
132975,,3,0.24333333333333335,0.31666666666666665,0.44
130070,,1,0.38666666666666666,0.3233333333333333,0.29
48330,,3,0.3333333333333333,0.3233333333333333,0.3433333333333333
136008,,3,0.29333333333333333,0.27,0.43666666666666665
102148,,2,0.25666666666666665,0.49,0.25333333333333335
153034,,2,0.37333333333333335,0.38,0.24666666666666667
151624,,3,0.34,0.23,0.43
167980,,1,0.38,0.3433333333333333,0.27666666666666667
63799,,1,0.34,0.33666666666666667,0.3233333333333333
12760,,3,0.3566666666666667,0.27666666666666667,0.36666666666666664
71667,,3,0.2866666666666667,0.3233333333333333,0.39
138207,,1,0.46,0.2,0.34
96863,,1,0.33666666666666667,0.33666666666666667,0.32666666666666666
71789,,2,0.2966666666666667,0.37666666666666665,0.32666666666666666
47426,,2,0.29333333333333333,0.43666666666666665,0.27
155321,,2,0.31,0.43333333333333335,0.25666666666666665
111916,,3,0.33666666666666667,0.2833333333333333,0.38
51798,,1,0.3933333333333333,0.2733333333333333,0.3333333333333333
73737,,3,0.35,0.29,0.36
72055,,2,0.32666666666666666,0.34,0.3333333333333333
13891,,2,0.27666666666666667,0.36666666666666664,0.3566666666666667
15640,,2,0.3466666666666667,0.37,0.2833333333333333
60053,,2,0.33,0.3933333333333333,0.27666666666666667
169176,,3,0.27,0.2866666666666667,0.44333333333333336
77505,,3,0.23666666666666666,0.32666666666666666,0.43666666666666665
66733,,1,0.36333333333333334,0.31666666666666665,0.32
113644,,3,0.3233333333333333,0.31333333333333335,0.36333333333333334
86101,,1,0.4533333333333333,0.2733333333333333,0.2733333333333333
108340,,3,0.35,0.28,0.37
99400,,3,0.35,0.29333333333333333,0.3566666666666667
106827,,2,0.28,0.37666666666666665,0.3433333333333333
171090,,3,0.35,0.2633333333333333,0.38666666666666666
69310,,1,0.37,0.29,0.34
96384,,2,0.3466666666666667,0.41333333333333333,0.24
78121,,3,0.31666666666666665,0.30666666666666664,0.37666666666666665
186687,,3,0.22666666666666666,0.37666666666666665,0.39666666666666667
110426,,3,0.2966666666666667,0.35,0.35333333333333333
88119,,1,0.37333333333333335,0.27,0.3566666666666667
106312,,2,0.30333333333333334,0.37666666666666665,0.32
145203,,2,0.29333333333333333,0.3566666666666667,0.35
154221,,1,0.4533333333333333,0.2633333333333333,0.2833333333333333
159743,,3,0.32,0.3333333333333333,0.3466666666666667
42099,,3,0.3333333333333333,0.26,0.4066666666666667
91611,,3,0.30666666666666664,0.3433333333333333,0.35
111112,,3,0.3466666666666667,0.29,0.36333333333333334
105503,,1,0.39,0.2866666666666667,0.3233333333333333
105129,,3,0.36,0.2733333333333333,0.36666666666666664
110323,,1,0.35333333333333333,0.3466666666666667,0.3
123406,,1,0.35,0.3333333333333333,0.31666666666666665
72580,,3,0.3,0.2866666666666667,0.41333333333333333
94838,,2,0.24333333333333335,0.41,0.3466666666666667
145716,,1,0.43333333333333335,0.24333333333333335,0.3233333333333333
20033,,3,0.3333333333333333,0.25,0.4166666666666667
73786,,1,0.38666666666666666,0.3,0.31333333333333335
45680,,1,0.4166666666666667,0.24,0.3433333333333333
138396,,3,0.2733333333333333,0.36,0.36666666666666664
106695,,1,0.4166666666666667,0.3233333333333333,0.26
25564,,2,0.2966666666666667,0.37333333333333335,0.33
113569,,3,0.26666666666666666,0.35,0.38333333333333336
25334,,3,0.3433333333333333,0.25333333333333335,0.4033333333333333
62680,,1,0.36666666666666664,0.30333333333333334,0.33
133879,,1,0.3466666666666667,0.31666666666666665,0.33666666666666667
110542,,2,0.2733333333333333,0.39666666666666667,0.33
97321,,1,0.3933333333333333,0.2733333333333333,0.3333333333333333
129890,,3,0.3466666666666667,0.29333333333333333,0.36
117046,,1,0.4266666666666667,0.31333333333333335,0.26
114408,,1,0.38333333333333336,0.27,0.3466666666666667
120941,,3,0.3233333333333333,0.26666666666666666,0.41
29670,,3,0.32,0.3,0.38
73339,,1,0.35,0.33,0.32
52448,,1,0.4266666666666667,0.32666666666666666,0.24666666666666667
48134,,1,0.39666666666666667,0.39,0.21333333333333335
20394,,3,0.37333333333333335,0.23666666666666666,0.39
64719,,1,0.39666666666666667,0.2966666666666667,0.30666666666666664
86286,,3,0.3233333333333333,0.33,0.3466666666666667
132026,,2,0.32,0.36666666666666664,0.31333333333333335
95835,,3,0.30333333333333334,0.33,0.36666666666666664
96717,,1,0.38,0.29333333333333333,0.32666666666666666
64922,,1,0.3933333333333333,0.24,0.36666666666666664
118414,,1,0.43,0.23,0.34
102387,,3,0.31,0.33,0.36
95555,,1,0.3433333333333333,0.32,0.33666666666666667
106593,,1,0.37,0.26666666666666666,0.36333333333333334
142903,,1,0.3566666666666667,0.29333333333333333,0.35
113560,,1,0.37333333333333335,0.31,0.31666666666666665
62173,,1,0.37,0.3466666666666667,0.2833333333333333
150542,,3,0.31666666666666665,0.31,0.37333333333333335
101455,,1,0.42,0.3,0.28
27954,,1,0.35,0.3233333333333333,0.32666666666666666
98154,,2,0.26666666666666666,0.42333333333333334,0.31
71475,,1,0.36,0.31666666666666665,0.3233333333333333
19441,,1,0.38666666666666666,0.26666666666666666,0.3466666666666667
24471,,3,0.3233333333333333,0.3233333333333333,0.35333333333333333
70348,,3,0.32666666666666666,0.25333333333333335,0.42
120337,,1,0.37333333333333335,0.3233333333333333,0.30333333333333334
117882,,1,0.39,0.28,0.33
101943,,3,0.27666666666666667,0.35333333333333333,0.37
110564,,2,0.24666666666666667,0.41,0.3433333333333333
