idmatch,result_finish_match,result_finish_match_prediction,proba_win_1,proba_draw,proba_win_2
47765,,1,0.36977307795303194,0.30874535899239314,0.3214815630545749
15848,,1,0.37383441033758064,0.2832627357867782,0.34290285387564123
102453,,1,0.36545145340948026,0.3092303108730762,0.3253182357174436
123683,,1,0.368480004578391,0.3134301437956145,0.3180898516259946
27475,,1,0.3730675369444184,0.2902272889284064,0.33670517412717527
58689,,1,0.375446625011703,0.2824996304147204,0.3420537445735764
11765,,1,0.37494439819847586,0.3059486964840707,0.3191069053174534
111668,,1,0.341109232554782,0.32652718187168384,0.3323635855735341
15224,,3,0.34834089194223994,0.30004498221292963,0.3516141258448306
135836,,1,0.37591630986575253,0.28791048229993543,0.3361732078343121
60303,,1,0.38305807475692605,0.29403648227643436,0.3229054429666396
152240,,1,0.3752214028007974,0.3026534288364836,0.3221251683627189
59023,,1,0.37744942490735955,0.2864879501234033,0.3360626249692373
66450,,1,0.3693684302933078,0.2982847685719958,0.3323468011346963
42103,,1,0.36908100197432553,0.312036449393564,0.3188825486321104
111760,,1,0.38026915269912936,0.29012168904189317,0.32960915825897746
112089,,1,0.3724845478802357,0.28776187494441996,0.33975357717534443
64780,,1,0.38377968899437676,0.2969160834318119,0.31930422757381144
38200,,1,0.34976367182089274,0.32094581569088726,0.32929051248822006
103697,,1,0.37656513027862354,0.2873884794207691,0.33604639030060734
30126,,1,0.3739877063584316,0.28499458598751154,0.341017707654057
96579,,1,0.36751061782094574,0.28669815382001046,0.3457912283590438
24772,,3,0.3448286577031624,0.30910487722091895,0.3460664650759187
98197,,1,0.36238890233963383,0.3132927732935513,0.3243183243668149
48514,,1,0.377976546348575,0.2798158013989224,0.3422076522525025
62107,,1,0.3485303773812005,0.31493843859770426,0.3365311840210952
106796,,1,0.3752866940663995,0.28720695932574286,0.3375063466078576
167262,,1,0.38323010624471576,0.2963135578466793,0.32045633590860495
108846,,1,0.3891470762437812,0.2939754920726175,0.31687743168360144
75447,,1,0.37253733299182973,0.28353329602967164,0.3439293709784986
171929,,1,0.3621754636385688,0.30692390672157777,0.33090062963985334
65259,,1,0.36999992929428493,0.3004172031113474,0.3295828675943676
46763,,1,0.3723852650369017,0.3063550328297426,0.3212597021333557
106528,,1,0.37681523445842063,0.2921365420411626,0.33104822350041674
173504,,1,0.36219354281073873,0.32512376062350534,0.312682696565756
64680,,1,0.37810183264283337,0.30707065804174527,0.31482750931542136
108119,,1,0.37218160099659797,0.29411597257853767,0.3337024264248643
67863,,1,0.37292409361629264,0.29947340882363677,0.3276024975600706
173911,,2,0.27591784222839116,0.37930454457546,0.3447776131961489
124621,,1,0.3729546897204345,0.28965101210954863,0.337394298170017
102768,,1,0.3630272258347486,0.29463457750814714,0.34233819665710424
104914,,1,0.37447591225238236,0.2948677908778439,0.3306562968697737
135193,,1,0.37212677150376794,0.2971948225974693,0.3306784058987628
85106,,1,0.3832620790542537,0.29263321079287924,0.32410471015286707
75264,,1,0.38755867390839155,0.28629487434104844,0.32614645175056
36932,,1,0.36960209547423917,0.2905615555331859,0.3398363489925748
150681,,1,0.3808263885679885,0.2883182724220923,0.3308553390099192
133082,,1,0.3775767239192452,0.28778970597625403,0.33463357010450084
120644,,1,0.3795928674413634,0.28854552924474336,0.3318616033138932
125002,,1,0.3638777574652658,0.30663249194897385,0.3294897505857604
55208,,1,0.3642575459352487,0.30539861924202866,0.33034383482272267
151826,,1,0.37599863009461415,0.2778262237676619,0.3461751461377239
96230,,1,0.39331313770630283,0.3119609910152154,0.29472587127848177
57628,,1,0.36699921186791556,0.2904953989598122,0.34250538917227213
69095,,1,0.36729477644135955,0.3022922264015455,0.3304129971570949
42277,,1,0.3675043865167152,0.3059537353388839,0.326541878144401
99362,,3,0.3370886727463731,0.3193571140732107,0.34355421318041623
96019,,1,0.37208788172520096,0.2929742743826609,0.334937843892138
25320,,1,0.3675566505886049,0.29592757281640963,0.33651577659498544
181100,,1,0.3593851534979693,0.3045275434281108,0.33608730307392
5934,,1,0.36782165042490933,0.27664548845385073,0.35553286112123983
158840,,1,0.38443269208173864,0.2979442407484661,0.3176230671697954
132070,,1,0.3647047098576454,0.3024676302821563,0.3328276598601983
111278,,1,0.38252166488948147,0.2803517143623836,0.337126620748135
106741,,1,0.3802786519812622,0.29167660460690453,0.3280447434118334
118160,,1,0.36756549907145625,0.30657773054416926,0.3258567703843745
97520,,1,0.3853726083503134,0.2771277096243026,0.337499682025384
67937,,1,0.37269426640558806,0.30165997369953923,0.32564575989487266
151026,,1,0.3605256916107914,0.30438285341050075,0.33509145497870785
134154,,1,0.3825966741525228,0.2909753151947812,0.32642801065269605
134670,,1,0.37502716188637597,0.2844154894460543,0.3405573486675698
64977,,1,0.3773401567157079,0.29492404375145237,0.32773579953283977
105087,,1,0.38175245632972693,0.2956793160622918,0.32256822760798143
153193,,1,0.3706394818253968,0.3019078294116948,0.3274526887629083
111205,,1,0.38182694235844283,0.2776003218158278,0.3405727358257294
110079,,1,0.3886897088746545,0.28705711261449135,0.3242531785108543
94560,,1,0.36987881577911175,0.3045259102412304,0.325595273979658
64699,,3,0.34086510257717323,0.3111065533909285,0.3480283440318983
59900,,1,0.38662560669977464,0.2967388129087282,0.3166355803914971
116420,,1,0.37337436994524176,0.2909606354443017,0.33566499461045657
25611,,1,0.38803007285978486,0.29537176841903184,0.31659815872118324
175154,,1,0.35642666143816215,0.29057974609533227,0.35299359246650547
60227,,1,0.3778234240864471,0.2848906315504078,0.33728594436314496
59848,,1,0.3502123695024255,0.320003361271417,0.3297842692261575
55198,,1,0.377939482343031,0.29848397819853945,0.3235765394584296
145669,,1,0.39330669945619334,0.28169839687109344,0.3249949036727133
29716,,1,0.3806800813558906,0.2805897849698266,0.33873013367428284
99041,,1,0.36799054315249907,0.3018954946939013,0.3301139621535997
17050,,1,0.3807956356913284,0.29807530349264755,0.3211290608160238
88385,,1,0.37645051660779005,0.3023809347781171,0.32116854861409283
168879,,1,0.3712699849700345,0.3020002566638836,0.32672975836608203
55140,,1,0.34306537730676373,0.3184967330645502,0.3384378896286861
150931,,1,0.372153598044349,0.2927556209920882,0.33509078096356276
151451,,1,0.3699478187909888,0.31124242977387295,0.31880975143513823
71997,,1,0.350373627038063,0.32655078826834333,0.3230755846935937
107715,,1,0.38446652811267623,0.2732489861923205,0.34228448569500325
152859,,1,0.3746290293926551,0.3014314035321975,0.32393956707514737
93988,,1,0.3552849676719689,0.3274107373315026,0.3173042949965286
124054,,1,0.3826731739207463,0.2973703207895426,0.31995650528971104
110108,,1,0.38164691719593463,0.2871268448555498,0.3312262379485155
101087,,1,0.3653866824395803,0.304147825603291,0.33046549195712865
60037,,1,0.37770529616453535,0.30261880070924674,0.319675903126218
136412,,1,0.3785566055534548,0.28408772244467595,0.3373556720018693
172660,,1,0.3800537743524275,0.2941705448953104,0.3257756807522621
70662,,1,0.39570590818161844,0.28199082831295674,0.32230326350542476
108867,,1,0.35808612147088914,0.30536146053671953,0.3365524179923912
148899,,1,0.36026061593062364,0.3019668816780427,0.3377725023913337
48197,,1,0.3627464760681486,0.2973397727915762,0.3399137511402753
105254,,3,0.31955583267208604,0.3144453975319033,0.3659987697960106
27267,,1,0.39390504684258043,0.28977108034002214,0.3163238728173974
66168,,3,0.35310321790172355,0.2920096840662584,0.35488709803201807
95091,,3,0.31784545341038745,0.3403591164683932,0.3417954301212193
134554,,1,0.37239666369019914,0.3009319812101436,0.3266713550996573
116078,,1,0.37690101857001607,0.2868694882256955,0.33622949320428847
48144,,1,0.3856541835883173,0.2854534824824922,0.32889233392919054
37820,,1,0.3779043194842657,0.2903752722448913,0.33172040827084315
37832,,1,0.3776338468285017,0.29116861307911734,0.331197540092381
136018,,1,0.3639392187668852,0.30791504145669835,0.32814573977641653
149746,,1,0.36080952276621375,0.30912075561989233,0.3300697216138939
102607,,1,0.3624153710042547,0.29539350469235776,0.3421911243033875
151376,,1,0.3704339051226611,0.30121942406570085,0.32834667081163815
101465,,1,0.38421072477253393,0.29177509660571144,0.3240141786217545
69564,,1,0.3785199486252268,0.30465807204806505,0.31682197932670814
101721,,1,0.373440348106574,0.29067574671982127,0.33588390517360467
70525,,1,0.38873404078317053,0.2970980464952536,0.314167912721576
123745,,1,0.35209754203010213,0.3045150905429111,0.3433873674269868
150940,,1,0.3759964111055748,0.2856665698907522,0.33833701900367297
148817,,1,0.3673390617808683,0.3093618257898861,0.3232991124292454
42100,,1,0.37873495874164304,0.30996857251604015,0.3112964687423169
