idmatch,result_finish_match,result_finish_match_prediction,proba_0,proba_1
47991,,0,0.5377175905392481,0.46228240946075194
99523,,0,0.5355611196271581,0.4644388803728418
133695,,0,0.5170588941303014,0.48294110586969863
90748,,0,0.5330627052799688,0.46693729472003126
135270,,1,0.48367831225579894,0.5163216877442011
13133,,0,0.52552781185282,0.47447218814717995
110640,,1,0.47867398945505657,0.5213260105449434
100232,,0,0.5422842146174909,0.4577157853825091
138136,,0,0.5405842509772933,0.45941574902270665
99511,,0,0.5324629948033445,0.46753700519665553
123838,,0,0.5140622323625315,0.4859377676374685
104336,,1,0.4896685066722749,0.5103314933277251
99089,,0,0.5303139866227877,0.4696860133772123
174921,,1,0.49224162193768684,0.5077583780623132
170084,,0,0.5261496424276066,0.4738503575723934
151247,,0,0.5272132958967529,0.4727867041032471
137270,,0,0.5367216568855719,0.46327834311442806
66663,,0,0.5356255540265089,0.46437444597349103
59831,,0,0.5124726814825555,0.4875273185174444
17725,,0,0.5405079862739244,0.45949201372607557
127197,,0,0.5261166176749748,0.4738833823250253
1474,,1,0.4855430145296582,0.5144569854703418
33806,,0,0.5301616279336951,0.4698383720663049
54488,,1,0.4879241567065221,0.5120758432934779
63949,,1,0.4962168649818808,0.5037831350181192
67797,,1,0.47106001014553367,0.5289399898544663
45427,,0,0.5295654738031148,0.47043452619688525
117048,,0,0.527296213565993,0.472703786434007
74817,,1,0.4636809050318109,0.5363190949681891
29964,,1,0.47399694520867386,0.5260030547913261
142949,,0,0.5260812534204464,0.4739187465795536
131860,,0,0.5068329316297495,0.4931670683702505
123818,,0,0.5493305660120179,0.4506694339879821
69603,,1,0.4779986732678473,0.5220013267321527
20347,,1,0.46821392471223966,0.5317860752877603
56765,,0,0.5252852398174316,0.4747147601825684
4458,,1,0.4713661986441786,0.5286338013558214
129171,,1,0.4923881841883767,0.5076118158116233
36954,,1,0.48485315309416144,0.5151468469058386
122771,,1,0.48664500726438165,0.5133549927356184
71955,,0,0.5399517727393072,0.46004822726069283
87689,,0,0.5177537991130321,0.48224620088696796
58176,,1,0.4714482815885591,0.5285517184114409
138142,,0,0.5344580244217201,0.46554197557828
105046,,1,0.47072929713706135,0.5292707028629386
138264,,1,0.4826654102898832,0.5173345897101168
71985,,1,0.49974589695755123,0.5002541030424488
5948,,1,0.46319469876408814,0.5368053012359119
122430,,1,0.47594514805653576,0.5240548519434642
56826,,1,0.4878454923541188,0.5121545076458812
87300,,0,0.5272058050186832,0.47279419498131675
32917,,0,0.5299697793944199,0.4700302206055801
61513,,0,0.5284357364319806,0.4715642635680194
15297,,1,0.46996434668975673,0.5300356533102433
24279,,0,0.5232273474019101,0.4767726525980899
112947,,0,0.5391414313161097,0.4608585686838903
67850,,0,0.5291818997991489,0.47081810020085113
29953,,0,0.528490208641469,0.471509791358531
68838,,0,0.5361597280914631,0.46384027190853694
118607,,0,0.5301294708622948,0.4698705291377053
113946,,0,0.5374152576425566,0.46258474235744335
142489,,1,0.45483896972646753,0.5451610302735325
41662,,0,0.5053919233548779,0.4946080766451221
156415,,1,0.4693996862998674,0.5306003137001326
38313,,1,0.49324309148822243,0.5067569085117776
23274,0.0,1,0.4682582288483772,0.5317417711516228
125334,,1,0.47344508354903836,0.5265549164509616
116891,,0,0.5278889261458153,0.47211107385418466
73140,,1,0.4660802344592956,0.5339197655407044
91113,,0,0.5365492327688717,0.4634507672311283
122935,,0,0.5234234395976236,0.47657656040237645
98353,,0,0.5133706652820051,0.4866293347179948
20171,,1,0.4698143394178984,0.5301856605821016
105338,,0,0.5233377376749375,0.4766622623250625
27059,0.0,0,0.5308072232616635,0.4691927767383365
108266,,0,0.5327681540242176,0.4672318459757824
91070,,1,0.47574573096843886,0.5242542690315611
64176,,0,0.5350267355223944,0.46497326447760556
32876,,0,0.5286475396344612,0.4713524603655388
131205,,0,0.5129718461830244,0.48702815381697556
134193,,0,0.528868023226424,0.47113197677357604
126745,,0,0.515109102156872,0.484890897843128
116235,,1,0.4816727461180804,0.5183272538819196
151042,,0,0.5312440723125227,0.4687559276874773
133036,,1,0.4883564623573604,0.5116435376426396
47889,,0,0.5287532892422946,0.4712467107577054
4703,,1,0.47316888359035336,0.5268311164096466
170343,,1,0.49254442765782025,0.5074555723421798
15868,,0,0.5200375792930798,0.47996242070692025
65105,,0,0.5150184251793013,0.4849815748206987
35923,,0,0.5365367469146627,0.46346325308533726
158062,,0,0.5349647796884466,0.4650352203115534
127548,,0,0.5230276075095488,0.47697239249045115
48569,,1,0.4783740710379025,0.5216259289620975
80699,,1,0.4764129579240787,0.5235870420759213
72864,,0,0.5208451278488428,0.47915487215115715
103386,,1,0.4814998402810179,0.5185001597189821
112720,,0,0.5425719341793276,0.45742806582067247
142229,,0,0.530380380362879,0.469619619637121
76963,,0,0.5281492675046888,0.4718507324953112
131638,,1,0.49233473412196116,0.5076652658780388
70272,,0,0.530733959818191,0.46926604018180895
113012,,0,0.5179999881590645,0.48200001184093555
103639,,1,0.46020112526087964,0.5397988747391204
151902,,0,0.5333174022050411,0.4666825977949589
59402,,1,0.46468740102409367,0.5353125989759063
149893,,0,0.5315429942046639,0.46845700579533617
56392,,0,0.526727887912454,0.47327211208754605
23275,,0,0.5319095319891054,0.4680904680108946
125857,,0,0.5347034632626761,0.4652965367373238
159604,,0,0.5265678000104337,0.47343219998956626
64858,,1,0.4707860425835607,0.5292139574164393
166506,,1,0.4680786814659127,0.5319213185340873
28721,,0,0.5331161877802876,0.4668838122197124
110124,,1,0.47566619390272713,0.5243338060972729
131188,,1,0.47410922100638664,0.5258907789936134
98342,,0,0.5326418649751088,0.4673581350248912
4728,,0,0.5319680222647007,0.4680319777352992
104080,,1,0.49919882804926974,0.5008011719507303
159660,,0,0.5215977217152279,0.47840227828477205
45453,,1,0.47373442874651517,0.5262655712534848
187338,,0,0.5177656679152768,0.4822343320847232
172091,,1,0.47247587049617845,0.5275241295038215
103424,,0,0.5332876116115157,0.4667123883884842
4431,,1,0.46691813502083657,0.5330818649791634
111385,,0,0.5439588961911117,0.45604110380888835
166527,,1,0.4709151450028024,0.5290848549971976
87383,,0,0.5457525519843485,0.45424744801565153
131617,,1,0.4707175745402935,0.5292824254597065
58396,,1,0.46652122955600583,0.5334787704439942
103061,,0,0.5368571662682111,0.4631428337317888
105364,,0,0.5309113918506918,0.46908860814930814
133236,,0,0.5268997818361416,0.47310021816385844
135736,,0,0.5310038310739559,0.4689961689260441
2564,,0,0.5265261176427931,0.47347388235720694
133861,,1,0.47710217355559337,0.5228978264444066
54376,,1,0.47113411497485636,0.5288658850251436
172563,,1,0.4689156941275222,0.5310843058724778
55275,,1,0.47811723532407124,0.5218827646759288
63847,,1,0.47517982679189097,0.524820173208109
88481,,0,0.5192272571046684,0.48077274289533156
150444,,0,0.5263233728232848,0.47367662717671527
53641,,1,0.4845243607706988,0.5154756392293012
105555,,1,0.47198717201038276,0.5280128279896172
61236,,0,0.5026891055796068,0.4973108944203933
58547,,1,0.46923317459224234,0.5307668254077577
174238,,1,0.4758317413512415,0.5241682586487585
130708,,0,0.5361709264510126,0.46382907354898745
121410,,1,0.4841975056736725,0.5158024943263275
133152,,0,0.535302980736628,0.46469701926337204
29180,,0,0.5352530022491457,0.4647469977508543
107079,,1,0.46589917092950983,0.5341008290704902
99466,,1,0.4804119530735884,0.5195880469264116
161650,,1,0.47814391046316385,0.5218560895368362
51259,,1,0.47146477580500146,0.5285352241949985
59231,,0,0.5331072288939125,0.4668927711060875
135167,,0,0.5234520760264163,0.4765479239735837
116280,,1,0.48321600723189106,0.5167839927681089
136688,,1,0.4804835912003411,0.5195164087996589
150631,,1,0.470299557484274,0.529700442515726
167277,,0,0.5424847876161485,0.45751521238385146
129926,,0,0.5407848329594703,0.45921516704052967
4567,,1,0.4743033932597087,0.5256966067402913
58823,,1,0.4666944821240392,0.5333055178759608
85442,,1,0.47940710615745374,0.5205928938425463
65357,,0,0.5330791490165033,0.46692085098349667
71414,,1,0.48747327751243885,0.5125267224875611
77490,,0,0.5314781451325854,0.46852185486741454
45648,,1,0.46512560325838315,0.5348743967416169
172317,,1,0.47271943613953316,0.5272805638604668
34412,,0,0.5273881868584921,0.4726118131415079
2821,,1,0.48155563028778403,0.518444369712216
54276,,0,0.5349631077628122,0.4650368922371878
47554,,1,0.47142936566152926,0.5285706343384707
107036,,0,0.5218748790683045,0.47812512093169546
112719,,0,0.5452115503624353,0.45478844963756465
104708,,1,0.4865615675096485,0.5134384324903515
87406,,0,0.5278285716126603,0.4721714283873397
131299,,0,0.5332172704694743,0.4667827295305257
188739,,1,0.47058473659159405,0.529415263408406
122506,,0,0.5371400730636076,0.46285992693639244
62527,,1,0.4822252402920818,0.5177747597079182
19429,,0,0.5356422491952363,0.4643577508047637
182865,,0,0.5506014249146562,0.4493985750853438
126243,,0,0.5177273465216481,0.4822726534783519
84759,,1,0.45900380789498507,0.5409961921050149
51351,,1,0.46410910991855103,0.535890890081449
130233,,0,0.5150410651331022,0.4849589348668978
106364,,1,0.48018715182425176,0.5198128481757482
58311,,1,0.4716209773095703,0.5283790226904297
105289,,0,0.5471760679493135,0.4528239320506865
140583,,0,0.5320551741428459,0.46794482585715413
132227,,1,0.47884344224319997,0.5211565577568
136412,,0,0.5357568455285341,0.4642431544714659
124613,,1,0.47412595111416445,0.5258740488858356
161607,,1,0.48846335230358195,0.511536647696418
137133,,1,0.47035960389030285,0.5296403961096972
104257,,1,0.47942291994007524,0.5205770800599248
176664,,0,0.5273245351965501,0.47267546480344996
66614,,1,0.4829303578336992,0.5170696421663008
115968,,0,0.5238369039776338,0.4761630960223662
102283,,0,0.500601276480718,0.49939872351928205
138013,,0,0.5208675953930424,0.47913240460695766
63998,,1,0.4769936504423319,0.5230063495576681
67955,,0,0.5373769532984934,0.46262304670150656
111695,,0,0.5267498966850717,0.4732501033149284
105313,,0,0.5360997901785527,0.46390020982144725
144430,,0,0.5204520949238292,0.4795479050761709
112024,,0,0.5270832719850492,0.47291672801495077
149379,,0,0.5446498603898151,0.4553501396101849
151555,,0,0.5268817691405878,0.47311823085941224
106710,,0,0.5319436137624391,0.4680563862375609
146057,,1,0.47356033460018065,0.5264396653998193
95088,,0,0.5297704770665139,0.4702295229334861
112191,,1,0.4898984861276038,0.5101015138723962
24536,,0,0.5229439950605338,0.4770560049394662
67735,,1,0.4749347287409086,0.5250652712590914
49577,,0,0.5172758159856469,0.48272418401435313
100561,,1,0.49389497298185403,0.506105027018146
173875,,0,0.5367713043212359,0.4632286956787641
72057,,0,0.5341046058753351,0.46589539412466485
67750,,1,0.46882617822926675,0.5311738217707332
57292,,0,0.529347139943908,0.47065286005609197
47853,,1,0.46795248379718546,0.5320475162028145
58163,,1,0.48796836812517697,0.512031631874823
145921,,0,0.5358885950831361,0.46411140491686387
45642,,1,0.46162724784297515,0.5383727521570248
111274,,0,0.5391332705838441,0.4608667294161559
111731,,0,0.5346619261578858,0.46533807384211423
29618,,1,0.4653792199318544,0.5346207800681456
125015,,0,0.5265893145250926,0.47341068547490744
131211,,0,0.5377214802760133,0.46227851972398665
112066,,0,0.5366635098721049,0.4633364901278951
122104,,1,0.4897054462766395,0.5102945537233605
180504,,0,0.5086464980235434,0.4913535019764566
168337,,1,0.4542172951259865,0.5457827048740135
85114,,0,0.5351082571384838,0.4648917428615162
47821,,0,0.518860049175332,0.481139950824668
37039,,0,0.5215331565310191,0.478466843468981
88148,,1,0.452896459577144,0.547103540422856
21206,,0,0.5188900456614178,0.4811099543385822
55190,,0,0.528107304827115,0.47189269517288507
58994,,1,0.46690731821777187,0.5330926817822281
121392,,1,0.47975699982035813,0.5202430001796419
95568,,0,0.5287652529088428,0.4712347470911572
167885,,0,0.5274734834776947,0.47252651652230526
55273,,0,0.5220709191140075,0.4779290808859925
70861,,0,0.5222117222658651,0.4777882777341349
48685,,0,0.5307134898250869,0.469286510174913
61283,,0,0.5201303597363716,0.4798696402636284
73566,,1,0.4682680161445749,0.5317319838554251
102392,,1,0.49214290006901684,0.5078570999309832
24756,,1,0.48557203813345684,0.5144279618665432
151628,,0,0.5345271291016007,0.4654728708983993
4762,,1,0.4697021463910026,0.5302978536089974
137160,,0,0.5208187607345097,0.4791812392654903
178005,,1,0.47052240780423205,0.529477592195768
95814,,0,0.5420754313523399,0.45792456864766
111068,,0,0.5288913314962433,0.4711086685037566
106393,,1,0.4818182270105381,0.5181817729894619
99932,,1,0.47569859922550284,0.5243014007744972
124718,,0,0.5333702024426044,0.46662979755739564
141548,,1,0.48327501930488936,0.5167249806951106
57539,,1,0.4741936643386079,0.5258063356613921
105529,,0,0.5338117098621095,0.46618829013789054
37726,,1,0.47969769008427154,0.5203023099157285
99008,,0,0.5337136563038438,0.4662863436961561
150500,,1,0.4712365781588017,0.5287634218411983
120559,,0,0.5239434623743489,0.47605653762565114
47822,,0,0.5284020804293561,0.4715979195706439
102162,,0,0.5346360272545966,0.4653639727454034
13331,,0,0.52975236519778,0.47024763480222
159467,,0,0.5300104268550772,0.46998957314492285
101042,,1,0.49960136924222687,0.5003986307577731
102934,,0,0.5340404393616993,0.46595956063830063
129513,,0,0.5263298868611963,0.47367011313880375
121010,,1,0.47893858350208396,0.521061416497916
134183,,1,0.48481050734131126,0.5151894926586887
110102,,0,0.5370588985577258,0.4629411014422742
116358,,0,0.5243937473020039,0.4756062526979961
56460,,1,0.4735110237318223,0.5264889762681777
115640,,0,0.530058151148269,0.46994184885173096
101374,,1,0.474677026843931,0.525322973156069
145132,,1,0.48056522711240823,0.5194347728875918
169359,,0,0.5360090925778656,0.4639909074221344
138366,,1,0.47024331755698123,0.5297566824430188
171108,,0,0.531509122379568,0.4684908776204319
144994,,0,0.5312913204847013,0.4687086795152987
137552,,1,0.46507434567800066,0.5349256543219993
158797,,0,0.5427825798876647,0.4572174201123354
42016,,0,0.5397141737535363,0.4602858262464637
100762,,1,0.46927332008871026,0.5307266799112897
133457,,1,0.47467430571941216,0.5253256942805878
87716,,1,0.4808016652693018,0.5191983347306982
135063,,1,0.4717675991048468,0.5282324008951532
56691,,0,0.5230462463705005,0.47695375362949954
96932,,1,0.47086616101222856,0.5291338389877714
135419,,0,0.5251809057310439,0.474819094268956
146700,,1,0.488078499984237,0.511921500015763
108288,,0,0.5376784723463499,0.46232152765365003
82916,,0,0.5276707142479528,0.47232928575204725
88614,,1,0.45867508281693803,0.541324917183062
70862,,0,0.5037845452654213,0.49621545473457873
60636,,0,0.529783784069292,0.4702162159307079
97950,,1,0.469537237481211,0.530462762518789
129972,,1,0.48500461287456,0.51499538712544
28062,,0,0.5369550425130756,0.4630449574869245
30007,,0,0.5203771720362915,0.4796228279637084
182356,,1,0.4698330798227499,0.5301669201772501
133179,,0,0.5198852652090933,0.48011473479090666
