,Feature Id,Importances
145,team1_home_classic_xgxga90,0.0
146,team1_home_classic_xg90xga90sum,0.0
147,team1_home_xg90_draw_xg90,0.0
148,team1_home_xg90_draw_xga90,0.0
149,team1_home_xg90_draw_xgxga,0.0
150,team1_home_xg90_draw_xg90xga90sum,0.0
151,team1_home_xg90_zero_xg90,0.0
152,team1_home_xg90_zero_xga90,0.0
153,team1_home_xg90_zero_xgxga,0.0
154,team1_home_xg90_zero_xg90xga90sum,0.0
155,team1_home_xg90_cop_xg90,0.0
156,team1_home_xg90_cop_xga90,0.0
157,team1_home_xg90_cop_xgxga,0.0
158,team1_home_xg90_com_xg90,0.0
159,team1_home_xg90_com_xga90,0.0
160,team1_home_xg90_com_xgxga,0.0
161,team1_home_xg90_com_xg90xga90sum,0.0
162,team1_home_five_draw_xg90,0.0
163,team1_home_five_draw_xga90,0.0
164,team1_home_five_draw_xgxga,0.0
165,team1_home_five_draw_xg90xga90sum,0.0
166,team1_home_five_zero_xg90,0.0
167,team1_home_five_zero_xga90,0.0
168,team1_home_five_zero_xgxga,0.0
169,team1_home_five_zero_xg90xga90sum,0.0
170,team1_home_five_cop_xg90,0.0
171,team1_home_five_cop_xga90,0.0
172,team1_home_five_cop_xgxga,0.0
173,team1_home_five_cop_xg90xga90sum,0.0
174,team1_home_five_com_xg90,0.0
175,team1_home_five_com_xga90,0.0
176,team1_home_five_com_xgxga,0.0
177,team1_home_five_com_xg90xga90sum,0.0
178,team1_home_xg90_03_xg_xg90,0.0
179,team1_home_xg90_03_xg_xga90,0.0
180,team1_home_xg90_03_xg_xgxga,0.0
181,team1_home_xg90_03_xg_xg90xga90sum,0.0
182,team1_home_xg90_03_draw_xg90,0.0
183,team1_home_xg90_03_draw_xga90,0.0
184,team1_home_xg90_03_draw_xgxga,0.0
185,team1_home_xg90_03_draw_xg90xga90sum,0.0
186,team1_home_xg90_03_zero_xg90,0.0
187,team1_home_xg90_03_zero_xga90,0.0
188,team1_home_xg90_03_zero_xgxga,0.0
189,team1_home_xg90_03_zero_xg90xga90sum,0.0
190,team1_home_xg90_03_cop_xg90,0.0
191,team1_home_xg90_03_cop_xga90,0.0
192,team1_home_xg90_03_cop_xgxga,0.0
193,team1_home_xg90_03_cop_xg90xga90sum,0.0
194,team1_home_xg90_03_com_xg90,0.0
195,team1_home_xg90_03_com_xga90,0.0
196,team1_home_xg90_03_com_xgxga,0.0
197,team1_home_xg90_03_com_xg90xga90sum,0.0
198,team1_home_xgpower_xg_xg90index,0.0
199,team1_home_xgpower_xg_xga90index,0.0
200,team1_home_xgpower_xg_xgsubxgaindex,0.0
201,team1_home_xgpower_zero_xg90index,0.0
202,team1_home_xgpower_zero_xga90index,0.0
203,team1_home_xgpower_zero_xgsubxgaindex,0.0
204,team1_home_xgpower_draw_xg90index,0.0
205,team1_home_xgpower_draw_xga90index,0.0
206,team1_home_xgpower_draw_xgsubxgaindex,0.0
207,team1_home_xgpower_cop_xg90index,0.0
208,team1_home_xgpower_cop_xga90index,0.0
209,team1_home_xgpower_cop_xgsubxgaindex,0.0
210,team1_home_xgpower_com_xg90index,0.0
211,team1_home_xgpower_com_xga90index,0.0
212,team1_home_xgpower_com_xgsubxgaindex,0.0
213,team1_home_xgpower_03_xg_xg90index,0.0
214,team1_home_xgpower_03_xg_xga90index,0.0
215,team1_home_xgpower_03_xg_xgsubxgaindex,0.0
216,team1_home_xgpower_03_zero_xg90index,0.0
217,team1_home_xgpower_03_zero_xga90index,0.0
218,team1_home_xgpower_03_zero_xgsubxgaindex,0.0
219,team1_home_xgpower_03_draw_xg90index,0.0
220,team1_home_xgpower_03_draw_xga90index,0.0
221,team1_home_xgpower_03_draw_xgsubxgaindex,0.0
222,team1_home_xgpower_03_cop_xg90index,0.0
223,team1_home_xgpower_03_cop_xga90index,0.0
224,team1_home_xgpower_03_cop_xgsubxgaindex,0.0
225,team1_home_xgpower_03_com_xg90index,0.0
226,team1_home_xgpower_03_com_xga90index,0.0
227,team1_home_xgpower_03_com_xgsubxgaindex,0.0
228,team1_away_classic_game,0.0
229,team1_away_classic_down,0.0
230,team1_away_classic_wins,0.0
231,team1_away_classic_draw,0.0
232,team1_away_classic_miss,0.0
233,team1_away_classic_gd,0.0
234,team1_away_classic_points,0.0
235,team1_away_classic_xg,0.0
236,team1_away_classic_xga,0.0
237,team1_away_classic_xgd,0.0
238,team1_away_classic_gdxgd,0.0
239,team1_away_classic_xp,0.0
240,team1_away_classic_xgsh,0.0
241,team1_away_classic_xgash,0.0
242,team1_away_classic_xg90,0.0
243,team1_away_classic_xga90,0.0
244,team1_away_classic_xgxga90,0.0
245,team1_away_classic_xg90xga90sum,0.0
246,team1_away_xg90_draw_xg90,0.0
247,team1_away_xg90_draw_xga90,0.0
248,team1_away_xg90_draw_xgxga,0.0
249,team1_away_xg90_draw_xg90xga90sum,0.0
250,team1_away_xg90_zero_xg90,0.0
251,team1_away_xg90_zero_xga90,0.0
252,team1_away_xg90_zero_xgxga,0.0
253,team1_away_xg90_zero_xg90xga90sum,0.0
254,team1_away_xg90_cop_xg90,0.0
255,team1_away_xg90_cop_xga90,0.0
256,team1_away_xg90_cop_xgxga,0.0
257,team1_away_xg90_cop_xg90xga90sum,0.0
258,team1_away_xg90_com_xg90,0.0
259,team1_away_xg90_com_xga90,0.0
260,team1_away_xg90_com_xgxga,0.0
261,team1_away_xg90_com_xg90xga90sum,0.0
262,team1_away_five_draw_xg90,0.0
263,team1_away_five_draw_xga90,0.0
264,team1_away_five_draw_xgxga,0.0
265,team1_away_five_draw_xg90xga90sum,0.0
266,team1_away_five_zero_xg90,0.0
267,team1_away_five_zero_xga90,0.0
268,team1_away_five_zero_xgxga,0.0
269,team1_away_five_cop_xg90,0.0
270,team1_away_five_cop_xga90,0.0
271,team1_away_five_cop_xgxga,0.0
272,team1_away_five_cop_xg90xga90sum,0.0
273,team1_away_five_com_xg90,0.0
274,team1_away_five_com_xga90,0.0
275,team1_away_five_com_xgxga,0.0
276,team1_away_five_com_xg90xga90sum,0.0
277,team1_away_xg90_03_xg_xg90,0.0
278,team1_away_xg90_03_xg_xga90,0.0
279,team1_away_xg90_03_xg_xgxga,0.0
280,team1_away_xg90_03_xg_xg90xga90sum,0.0
281,team1_away_xg90_03_draw_xg90,0.0
282,team1_away_xg90_03_draw_xgxga,0.0
283,team1_away_xg90_03_draw_xg90xga90sum,0.0
284,team1_away_xg90_03_zero_xg90,0.0
285,team1_away_xg90_03_zero_xga90,0.0
286,team1_away_xg90_03_zero_xgxga,0.0
287,team1_away_xg90_03_zero_xg90xga90sum,0.0
288,team1_away_xg90_03_cop_xg90,0.0
289,team1_away_xg90_03_cop_xga90,0.0
290,team1_away_xg90_03_cop_xgxga,0.0
291,team1_away_xg90_03_cop_xg90xga90sum,0.0
292,team1_away_xg90_03_com_xg90,0.0
293,team1_away_xg90_03_com_xga90,0.0
294,team1_away_xg90_03_com_xgxga,0.0
295,team1_away_xg90_03_com_xg90xga90sum,0.0
296,team1_away_xgpower_xg_xg90index,0.0
297,team1_away_xgpower_xg_xgsubxgaindex,0.0
298,team1_away_xgpower_zero_xg90index,0.0
299,team1_away_xgpower_zero_xga90index,0.0
300,team1_away_xgpower_zero_xgsubxgaindex,0.0
301,team1_away_xgpower_draw_xg90index,0.0
302,team1_away_xgpower_draw_xga90index,0.0
303,team1_away_xgpower_draw_xgsubxgaindex,0.0
304,team1_away_xgpower_cop_xg90index,0.0
305,team1_away_xgpower_cop_xga90index,0.0
306,team1_away_xgpower_cop_xgsubxgaindex,0.0
307,team1_away_xgpower_com_xg90index,0.0
308,team1_away_xgpower_com_xga90index,0.0
309,team1_away_xgpower_com_xgsubxgaindex,0.0
310,team1_away_xgpower_03_xg_xg90index,0.0
311,team1_away_xgpower_03_xg_xga90index,0.0
312,team1_away_xgpower_03_xg_xgsubxgaindex,0.0
313,team1_away_xgpower_03_zero_xg90index,0.0
314,team1_away_xgpower_03_zero_xga90index,0.0
315,team1_away_xgpower_03_zero_xgsubxgaindex,0.0
316,team1_away_xgpower_03_draw_xg90index,0.0
317,team1_away_xgpower_03_draw_xga90index,0.0
318,team1_away_xgpower_03_draw_xgsubxgaindex,0.0
319,team1_away_xgpower_03_cop_xg90index,0.0
320,team1_away_xgpower_03_cop_xga90index,0.0
321,team1_away_xgpower_03_cop_xgsubxgaindex,0.0
322,team1_away_xgpower_03_com_xg90index,0.0
323,team1_away_xgpower_03_com_xga90index,0.0
324,team1_away_xgpower_03_com_xgsubxgaindex,0.0
325,team2_all_classic_game,0.0
326,team2_all_classic_down,0.0
327,team2_all_classic_wins,0.0
328,team2_all_classic_draw,0.0
329,team2_all_classic_miss,0.0
330,team2_all_classic_gd,0.0
331,team2_all_classic_points,0.0
332,team2_all_classic_xg,0.0
333,team2_all_classic_xga,0.0
334,team2_all_classic_xgd,0.0
335,team2_all_classic_gdxgd,0.0
336,team2_all_classic_xp,0.0
337,team2_all_classic_xgsh,0.0
338,team2_all_classic_xgash,0.0
339,team2_all_classic_xg90,0.0
340,team2_all_classic_xga90,0.0
341,team2_all_classic_xgxga90,0.0
342,team2_all_classic_xg90xga90sum,0.0
343,team2_all_xg90_draw_xg90,0.0
344,team2_all_xg90_draw_xga90,0.0
345,team2_all_xg90_draw_xgxga,0.0
346,team2_all_xg90_draw_xg90xga90sum,0.0
347,team2_all_xg90_zero_xg90,0.0
348,team2_all_xg90_zero_xga90,0.0
349,team2_all_xg90_zero_xgxga,0.0
350,team2_all_xg90_zero_xg90xga90sum,0.0
351,team2_all_xg90_cop_xg90,0.0
352,team2_all_xg90_cop_xga90,0.0
353,team2_all_xg90_cop_xg90xga90sum,0.0
354,team2_all_xg90_com_xg90,0.0
355,team2_all_xg90_com_xga90,0.0
356,team2_all_xg90_com_xgxga,0.0
357,team2_all_xg90_com_xg90xga90sum,0.0
358,team2_all_five_draw_xg90,0.0
359,team2_all_five_draw_xga90,0.0
360,team2_all_five_draw_xgxga,0.0
361,team2_all_five_draw_xg90xga90sum,0.0
362,team2_all_five_zero_xg90,0.0
363,team2_all_five_zero_xga90,0.0
364,team2_all_five_zero_xgxga,0.0
365,team2_all_five_zero_xg90xga90sum,0.0
366,team2_all_five_cop_xg90,0.0
367,team2_all_five_cop_xga90,0.0
368,team2_all_five_cop_xgxga,0.0
369,team2_all_five_cop_xg90xga90sum,0.0
370,team2_all_five_com_xg90,0.0
371,team2_all_five_com_xga90,0.0
372,team2_all_five_com_xgxga,0.0
373,team2_all_five_com_xg90xga90sum,0.0
374,team2_all_xg90_03_xg_xg90,0.0
375,team2_all_xg90_03_xg_xga90,0.0
376,team2_all_xg90_03_xg_xgxga,0.0
377,team2_all_xg90_03_xg_xg90xga90sum,0.0
378,team2_all_xg90_03_draw_xg90,0.0
379,team2_all_xg90_03_draw_xgxga,0.0
380,team2_all_xg90_03_draw_xg90xga90sum,0.0
381,team2_all_xg90_03_zero_xg90,0.0
382,team2_all_xg90_03_zero_xga90,0.0
383,team2_all_xg90_03_zero_xgxga,0.0
384,team2_all_xg90_03_zero_xg90xga90sum,0.0
385,team2_all_xg90_03_cop_xg90,0.0
386,team2_all_xg90_03_cop_xga90,0.0
387,team2_all_xg90_03_cop_xgxga,0.0
388,team2_all_xg90_03_cop_xg90xga90sum,0.0
389,team2_all_xg90_03_com_xg90,0.0
390,team2_all_xg90_03_com_xga90,0.0
391,team2_all_xg90_03_com_xgxga,0.0
392,team2_all_xg90_03_com_xg90xga90sum,0.0
393,team2_all_xgpower_xg_xg90index,0.0
394,team2_all_xgpower_xg_xgsubxgaindex,0.0
395,team2_all_xgpower_zero_xg90index,0.0
396,team2_all_xgpower_zero_xga90index,0.0
397,team2_all_xgpower_zero_xgsubxgaindex,0.0
398,team2_all_xgpower_draw_xg90index,0.0
399,team2_all_xgpower_draw_xga90index,0.0
400,team2_all_xgpower_draw_xgsubxgaindex,0.0
401,team2_all_xgpower_cop_xg90index,0.0
402,team2_all_xgpower_cop_xga90index,0.0
403,team2_all_xgpower_cop_xgsubxgaindex,0.0
404,team2_all_xgpower_com_xg90index,0.0
405,team2_all_xgpower_com_xga90index,0.0
406,team2_all_xgpower_com_xgsubxgaindex,0.0
407,team2_all_xgpower_03_xg_xg90index,0.0
408,team2_all_xgpower_03_xg_xga90index,0.0
409,team2_all_xgpower_03_xg_xgsubxgaindex,0.0
410,team2_all_xgpower_03_zero_xg90index,0.0
411,team2_all_xgpower_03_zero_xga90index,0.0
412,team2_all_xgpower_03_zero_xgsubxgaindex,0.0
413,team2_all_xgpower_03_draw_xg90index,0.0
414,team2_all_xgpower_03_draw_xga90index,0.0
415,team2_all_xgpower_03_draw_xgsubxgaindex,0.0
416,team2_all_xgpower_03_cop_xg90index,0.0
417,team2_all_xgpower_03_cop_xga90index,0.0
418,team2_all_xgpower_03_cop_xgsubxgaindex,0.0
419,team2_all_xgpower_03_com_xg90index,0.0
420,team2_all_xgpower_03_com_xga90index,0.0
421,team2_all_xgpower_03_com_xgsubxgaindex,0.0
422,team2_home_classic_game,0.0
423,team2_home_classic_down,0.0
