idmatch,result_finish_match,result_finish_match_prediction,proba_win_1,proba_draw,proba_win_2
41395,,1,0.40133832624253707,0.3327523678544105,0.26590930590305245
32815,,1,0.3485714866919829,0.3065618658920079,0.3448666474160093
101342,,1,0.36300614372717716,0.3008958331826693,0.33609802309015346
56252,,2,0.3023323209527763,0.36079146055803335,0.33687621848919036
98909,,1,0.36626232111347573,0.29540191137410166,0.3383357675124225
55403,,1,0.3834043847991983,0.30279497938161987,0.3138006358191819
103007,,1,0.3762877666031993,0.28323187045017206,0.34048036294662876
57822,,3,0.3689988228348391,0.2548931079648869,0.37610806920027395
20310,,1,0.37846406281188744,0.2480712610695558,0.3734646761185567
159531,,1,0.3461629641769044,0.3322718729137648,0.32156516290933074
85985,,1,0.3909161949359893,0.26560731790292635,0.34347648716108437
144357,,1,0.3783644716517467,0.25392449822430735,0.367711030123946
58366,,1,0.36878837541792064,0.28565145567737554,0.3455601689047039
150278,,3,0.36346113957013726,0.25193725247248516,0.3846016079573776
95042,,1,0.3825352580900617,0.31583379477407236,0.301630947135866
142182,,1,0.3647234310403816,0.2885153383896981,0.34676123056992036
47224,,1,0.38697455475723264,0.2765728285510715,0.3364526166916959
99765,,3,0.3452497003752201,0.30842728481217285,0.34632301481260697
122190,,3,0.3501554647565801,0.2897401889883295,0.36010434625509036
19982,,1,0.3777113637405486,0.276003520202655,0.34628511605679646
172868,,3,0.3256893067891376,0.27560764554434214,0.3987030476665202
41982,,2,0.33367817694511975,0.39392484714050613,0.27239697591437423
99478,,1,0.3577546288328616,0.30107793062190547,0.341167440545233
117053,,1,0.39619875314914266,0.28577459046134657,0.3180266563895109
152834,,1,0.36620076260116746,0.31830238354330304,0.31549685385552956
103560,,1,0.37651085906455395,0.26930758106575825,0.3541815598696878
86325,,1,0.38474847053192257,0.289281117858469,0.3259704116096086
60227,,1,0.390396310835909,0.2886571787622411,0.32094651040185
145652,,3,0.3408188030439595,0.2923839784163717,0.3667972185396688
34737,,3,0.3396230575022564,0.31965168189208154,0.34072526060566216
